Feature	Gain	Cover	Frequency
ctrx_quarter	0,117626447944139	0,0319048814851899	0,0352030435463093
cpayroll_trx	0,052436311009724	0,0232985340343668	0,00509264275652834
mcaja_ahorro	0,0509922963101873	0,0247557652833348	0,031446768037948
mtarjeta_visa_consumo	0,0331440157386816	0,0121000462110661	0,0174931676719519
mcuentas_saldo	0,0327455612434352	0,0305451261129082	0,0273052335030881
mprestamos_personales	0,0226629223660247	0,0231100439500956	0,00675407230830354
mpayroll	0,0220956521325071	0,0205017315667764	0,0114132986600209
ctarjeta_visa_transacciones	0,0201681655323475	0,012761463259638	0,014531488905744
mcuenta_corriente	0,0198085926869732	0,0169953984453609	0,0161568004237849
mv_msaldototal	0,0190227944138195	0,0103024428318632	0,0164096266599246
Master_fechaalta	0,0184483299049843	0,0167345613561361	0,0237054694742418
mv_msaldopesos	0,0170925377788515	0,0101811588155011	0,0155427938503028
cliente_edad	0,0164072141078294	0,0194009003271316	0,0213939153152502
mcomisiones_otras	0,0144435363570907	0,0168720994385459	0,0169995545442506
Visa_Fvencimiento	0,0144207239731817	0,0103691522873944	0,0171440266791876
mv_mpagominimo	0,0143421753531802	0,0101715961731318	0,0141823479129796
chomebanking_transacciones	0,0141669244784922	0,0151202336312361	0,0170477119225629
Master_Fvencimiento	0,0139840211866118	0,012142742745668	0,0179988201442314
mtransferencias_recibidas	0,0136738702423581	0,012328465785684	0,0180108594888094
numero_de_cliente	0,0135311199361578	0,0123996269145283	0,0182757250695272
cliente_antiguedad	0,0124867875262041	0,0114472128505782	0,017348695537015
mv_fechaalta	0,0118766357912832	0,00945804196011267	0,0164457446936589
mv_Fvencimiento	0,0116689482714839	0,0079006940838683	0,014832472520196
Visa_msaldototal	0,011406251093273	0,0117259879213852	0,019130518534571
Visa_fechaalta	0,0114024592419597	0,00856285248338947	0,0152899676141631
ctarjeta_debito_transacciones	0,0112198391755192	0,0134298335950245	0,0141582692238235
Visa_mpagospesos	0,0102874216892257	0,0115500294508978	0,0181432922791683
mcaja_ahorro_dolares	0,00987164242818381	0,00963861692784889	0,0124486822937359
mcomisiones_mantenimiento	0,00977179235540261	0,0210468342903832	0,00916194122391977
cproductos	0,00975493542634437	0,00729764111960307	0,0103297576479936
Visa_mfinanciacion_limite	0,00925099369587691	0,00858141907920282	0,0112206691467716
Master_mfinanciacion_limite	0,00891405866444736	0,0103606549356577	0,013652616751544
Visa_mpagominimo	0,00885689060411051	0,00989676546040705	0,015566872539459
Visa_msaldopesos	0,00872427012568502	0,0108625224143963	0,0149408266213987
active_quarter	0,00872322930646645	0,000456794197253326	0,000662163951794464
Visa_mlimitecompra	0,00852259591243003	0,0083346648039193	0,0102936396142594
mvr_msaldopesos2	0,00814722913678554	0,00860395001175723	0,0126172331178291
mvr_mpagominimo	0,00776594324192326	0,00496137456666521	0,00949904287210604
cextraccion_autoservicio	0,00761499639169748	0,00609897581445918	0,00788577069864317
mvr_mpagospesos	0,00740495393767243	0,00654577640113021	0,00934253139259099
Master_mlimitecompra	0,00729018417538718	0,00881333491912511	0,0110400789781004
mcuenta_debitos_automaticos	0,00708253365122701	0,0154179520382811	0,00892115433235815
mv_mpagospesos	0,00707012949472077	0,0102405546548344	0,0149528659659768
Visa_cconsumos	0,00703031276824243	0,00626372054912537	0,0114614560383333
Visa_mconsumospesos	0,00700374492868917	0,00611885386652344	0,0106187019178676
ccomisiones_otras	0,00700147965177853	0,0114339291829921	0,0138091282310591
mpagomiscuentas	0,00695891279784619	0,0106584511167676	0,0107150166744922
thomebanking	0,00685631007289949	0,00299618377504657	0,00273293121922443
mv_mfinanciacion_limite	0,00675055196923937	0,00552295611623217	0,00924621663596634
cprestamos_personales	0,00667424531727696	0,00644759484967127	0,00304595417825454
mtransferencias_emitidas	0,00655813023156002	0,00975083919536083	0,0106307412624457
mvr_Master_mlimitecompra	0,00623028138202682	0,00817153049186372	0,0078014952865966
mvr_mconsumospesos	0,00579182766316306	0,00701073402110751	0,00948700352752796
ccomisiones_mantenimiento	0,00548531459309134	0,013090048694656	0,00582704277579129
mv_status08	0,00537537842387028	0,00740587550409742	0,0106427806070238
mvr_Visa_mlimitecompra	0,00526379834698594	0,00550147977145733	0,00675407230830354
mv_cconsumos	0,00490317960032755	0,00978111756642034	0,00939068877090331
mttarjeta_visa_debitos_automaticos	0,00477339059907805	0,00535641401579011	0,00781353463117468
Visa_mconsumototal	0,0047540394668732	0,00420286908468461	0,00748847232756649
mv_mconsumospesos	0,00472429154568282	0,00452830003216978	0,00801820348900206
mv_mlimitecompra	0,00467621592798058	0,00399539356628704	0,00665775755167889
