fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia
20210921 172958	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	328	TRUE	0.0962436044992646	0.402312253694981	2410	661	0.0311173960317974	13178750
20210921 173046	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	266	TRUE	0.0580208844812587	0.769125520084053	5352	552	0.0441733594774269	12852500
20210921 173145	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	228	TRUE	0.0769591691485839	0.479101409409195	3874	852	0.0335573011667584	12611250
20210921 173232	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	230	TRUE	0.0368346094422741	0.934665445573628	6738	912	0.0416156169926981	12483750
20210921 173321	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	209	TRUE	0.0786205825285288	0.601245936723426	7178	602	0.0276956792821293	12292500
20210921 173431	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	331	TRUE	0.0263315706339199	0.655876459153369	5682	214	0.0473903786503361	12743750
20210921 173517	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	301	TRUE	0.0673857048533391	0.709942525029182	7963	254	0.0524923061435111	12325000
20210921 173619	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	271	TRUE	0.0488663650298258	0.830579786868766	731	37	0.039670173399616	13228750
20210921 174039	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	659	TRUE	0.0120451282140566	0.335721023259684	1745	298	0.0480327517744154	13310000
20210921 174123	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	221	TRUE	0.0625165493127424	0.85886614125222	4479	336	0.024500986577943	11725000
20210921 174208	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	185	TRUE	0.0690575452349149	0.274006616240367	4019	404	0.0358842558003962	12748750
20210921 174310	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	228	TRUE	0.0395097975686658	0.228221556339413	3281	933	0.0350655776087078	12850000
20210921 174432	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	339	TRUE	0.030906539603835	0.583856274159625	6272	737	0.0378328225878649	12673750
20210921 174533	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	195	TRUE	0.0920620589364553	0.397417303528637	1044	165	0.0226697486784542	12983750
20210921 174709	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	119	TRUE	0.0511002134135924	0.9652395048365	333	784	0.0289293517992483	12551250
20210921 174758	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	197	TRUE	0.0448066724247765	0.292649458525702	7569	72	0.0534692948795855	12536250
20210921 174921	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	291	TRUE	0.0892939016926102	0.51483855788596	1562	1001	0.0257177793661831	12600000
20210921 175144	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	594	TRUE	0.0153419887651689	0.914974733982235	2387	711	0.049869979511539	13145000
20210921 175513	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	778	TRUE	0.0203646784760058	0.528678517723456	2960	518	0.02062958101806	11313750
20210921 175558	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	257	TRUE	0.0858279518866912	0.746021092934534	5048	461	0.0462476612895261	13117500
20210921 175640	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	46	TRUE	0.0999948854075915	0.428817384669217	579	477	0.0439220166191172	12370000
20210921 175922	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	149	TRUE	0.0150191966023521	0.554224306107568	2	405	0.0444323997120823	8162500
20210921 180049	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	340	TRUE	0.0653453537723523	0.33396179925608	1736	816	0.0291076536082065	13125000
20210921 180135	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	224	TRUE	0.0759699073067933	0.338116285735164	2159	17	0.0547723253944574	12741250
20210921 180312	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	49	TRUE	0.0100626345847464	0.305731508854792	2258	328	0.0202020539830169	11358750
20210921 180355	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	89	TRUE	0.0531087013042359	0.3312993689372	1832	1019	0.0452364190225005	12870000
20210921 180435	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	61	TRUE	0.0552040159388483	0.879179899190873	1170	180	0.0494262732871187	13175000
20210921 180506	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	69	TRUE	0.0847324672176696	0.815986784897129	2095	532	0.0473632792733883	12696250
20210921 180605	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	191	TRUE	0.0999906313408627	0.366465258732018	1157	865	0.0298224308690825	12206250
20210921 180730	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	325	TRUE	0.0700448608001103	0.397467503913587	2577	261	0.0294339473176033	12940000
20210921 181028	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	267	TRUE	0.0209592820966102	0.875970869616676	802	233	0.0437082398030749	13393750
20210921 181116	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	165	TRUE	0.0912667526417492	0.253168707558248	1122	1007	0.0291076556057262	12907500
20210921 181232	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	416	TRUE	0.0189944486395559	0.843154353842446	1462	29	0.0515896070034891	12831250
20210921 181429	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	127	TRUE	0.0361952252207762	0.88070629718101	565	818	0.0426358171953388	13420000
20210921 181514	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	165	TRUE	0.0680096009129426	0.588723395454325	5597	893	0.0276354227742855	12426250
20210921 181613	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	81	TRUE	0.0355401686738759	0.905594783565654	35	248	0.0435055803793383	10377500
20210921 181721	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	131	TRUE	0.0498520904562362	0.972821233353373	749	788	0.0383614250371441	13300000
20210921 181853	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	273	TRUE	0.0435940977615223	0.218484750579605	1579	90	0.0487059224632743	13493750
20210921 182017	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	131	TRUE	0.0228371237613124	0.864663437188905	955	984	0.0384519944068974	12862500
20210921 182202	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	511	TRUE	0.0354809953726789	0.200238161651143	1057	96	0.0266455656153304	13323750
20210921 182229	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	96	TRUE	0.0946162012516823	0.27265647288184	1714	20	0.0455177776617238	13057500
20210921 182547	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	829	TRUE	0.0117029299246415	0.200284795663737	1552	554	0.0541430168463751	13131250
20210921 182617	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	93	TRUE	0.0999427446598061	0.648997525970673	2493	759	0.0541891582642864	12831250
20210921 182709	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	45	TRUE	0.0225859528158103	0.239631999240124	1608	84	0.0259375144691524	11747500
20210921 182933	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	327	TRUE	0.0244562527001686	0.908448214841871	684	842	0.0463857632178035	12618750
20210921 183019	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	62	TRUE	0.0944080000970055	0.973903935753536	580	869	0.0408256197556781	12566250
20210921 183112	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	153	TRUE	0.0579330912136045	0.363367764030618	1616	447	0.0494903891098619	12818750
20210921 183402	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	341	TRUE	0.0209191126098069	0.865707478075805	569	650	0.0377327711373312	12995000
20210921 183520	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	301	TRUE	0.0502575022677488	0.202941840146286	1001	799	0.0251887724523936	13045000
20210921 183635	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	137	TRUE	0.0421503354351922	0.996973221037937	838	132	0.0411035598959419	13676250
20210921 183840	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	652	TRUE	0.0312619306552533	0.201371578522674	2513	113	0.0463322401072595	13238750
20210921 183940	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	158	TRUE	0.0571034818808913	0.903082858181016	904	177	0.0426468586868003	12781250
20210921 184118	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	255	TRUE	0.0352507974807355	0.935561157426403	820	267	0.0360893072967417	13068750
20210921 184350	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	515	TRUE	0.0233050608295279	0.984875947212074	1145	281	0.0331868497812694	13531250
20210921 184729	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	548	TRUE	0.0107411001036396	0.996550150203048	930	751	0.0503424917172961	12855000
20210921 184748	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	19	TRUE	0.0481952452755729	0.985777570982053	851	18	0.024073010165893	11407500
