fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia
20210924 192804	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	448	TRUE	0,0324180913307937	0,678443893780932	1659	892	0,0283876107723918	13122500
20210924 192850	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	166	TRUE	0,0389675528442021	0,741732578435913	6430	463	0,0395125445491867	12697500
20210924 192930	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	203	TRUE	0,0648510871974286	0,849698291709647	6904	350	0,0428749958145199	12631250
20210924 193021	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	180	TRUE	0,0764954292192124	0,365524965161458	4612	48	0,0318700590094668	12048750
20210924 193150	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	253	TRUE	0,019543072057073	0,893753006374463	2296	649	0,0490111691052443	12900000
20210924 193226	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	148	TRUE	0,0513275191873545	0,784686677856371	7261	763	0,0391780380561249	12378750
20210924 193256	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	47	TRUE	0,0686522786753485	0,510465557146818	6255	690	0,0232105956180021	10538750
20210924 193344	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	144	TRUE	0,056908431648626	0,445346516892314	4941	568	0,0458152866694727	12606250
20210924 194205	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1046	TRUE	0,0101806192499353	0,560277644162998	1278	203	0,0303437121886527	13265000
20210924 194438	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	890	TRUE	0,0185145536760101	0,635813549207523	5856	601	0,021732812918257	10996250
20210924 194545	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	79	TRUE	0,0449109545843676	0,339066167036071	401	844	0,0475617254383978	12603750
20210924 194623	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	153	TRUE	0,0841071357378969	0,826486780988053	3327	978	0,0417465612434899	12653750
20210924 194731	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	190	TRUE	0,0868601156768855	0,427928303619847	968	225	0,0249704296367709	12846250
20210924 194818	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	216	TRUE	0,0613389465126675	0,923170018624514	4187	153	0,0505462981741875	12943750
20210924 194930	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	345	TRUE	0,0461860948371468	0,21614181112498	2769	310	0,0531006309655495	13222500
20210924 195048	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	345	TRUE	0,0347150794365443	0,290242841849104	5257	103	0,0327088393837912	12168750
20210924 195206	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	422	TRUE	0,0791055650755297	0,993968587396666	3113	499	0,0261269904692308	12927500
20210924 195241	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	155	TRUE	0,0995634007506305	0,252450200878084	7907	779	0,0354034630979877	12046250
20210924 195326	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	33	TRUE	0,0925687502218643	0,52788027735427	313	399	0,0539965258871089	10956250
20210924 195503	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	457	TRUE	0,025110428071348	0,68977514940314	3618	930	0,0359483663789579	12583750
20210924 195721	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	509	TRUE	0,0339037595057373	0,204697974814805	3077	181	0,0494807722906134	13352500
20210924 195843	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	143	TRUE	0,0231433089474498	0,86750291897927	6	183	0,0289876941338099	11892500
20210924 200007	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	262	TRUE	0,0218501765874386	0,215456486520599	1778	263	0,0358321563290976	13262500
20210924 200317	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	629	TRUE	0,0107209785515594	0,359021365407309	2195	59	0,0292454987726191	12437500
20210924 200821	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	648	TRUE	0,0159740611040492	0,340948925686154	1238	753	0,0371101391498639	13437500
