Feature	Gain	Cover	Frequency
ctrx_quarter_lag1	0.0682567887292428	0.00824999620175795	0.00706126687435099
ctrx_quarter	0.0531083446587797	0.0169884506016487	0.0118380062305296
mcaja_ahorro	0.0480164596036889	0.00793123804935688	0.00768431983385255
mtarjeta_visa_consumo	0.0454068462715907	0.0117127915596789	0.0150224991346487
cpayroll_trx	0.0429979356838291	0.0132179525616317	0.00359986154378678
Visa_msaldototal	0.0301353327397503	0.00865659457332798	0.011214953271028
mpayroll	0.0279024441166674	0.0169928405248788	0.00671512634129457
mcuentas_saldo	0.0217287354645333	0.0152596711237673	0.0155763239875389
mcaja_ahorro_lag1	0.017830704567318	0.00446472463713076	0.00636898580823814
mactivos_margen	0.0161255378832519	0.0110459768351172	0.00989961924541364
mprestamos_personales	0.0134038391959148	0.0173484793466306	0.00422291450328834
Visa_msaldopesos	0.0129516514093992	0.00670484571322526	0.00893042575285566
ctarjeta_visa_transacciones	0.0115890223907586	0.00821964442817535	0.00955347871235722
mactivos_margen_lag1	0.0114667981131767	0.0141094846663806	0.00747663551401869
mrentabilidad_annual_lag1	0.00920332065532683	0.00985230869108859	0.00692281066112842
mactivos_margen_delta1	0.00818659264057503	0.00497751056373912	0.00512287988923503
mcuentas_saldo_lag1	0.00806644189557696	0.00297176356017725	0.00546902042229145
mprestamos_personales_lag1	0.00775663781397782	0.00405670091651367	0.00186915887850467
cpayroll_trx_lag1	0.00746908059501107	0.00530604877424869	0.00221529941156109
ccomisiones_mantenimiento_delta1	0.00724562212416677	0.00472546671806654	0.00186915887850467
mcomisiones_otras_lag1	0.00619274637456951	0.00714235005534425	0.00740740740740741
mautoservicio	0.00617545904078736	0.00493989159774483	0.00602284527518172
mcuentas_saldo_delta1	0.00583995476732246	0.00947517575754194	0.00733817930079612
mprestamos_personales_delta1	0.00531925180465899	0.0129189025643633	0.0039460020768432
thomebanking	0.00524562454693231	0.00278354536444272	0.00186915887850467
Visa_mpagominimo	0.00517250474083783	0.00445906879137812	0.00560747663551402
chomebanking_transacciones	0.00504645916730582	0.00654599805877329	0.00595361716857044
cproductos	0.00481618483225146	0.00342272995394842	0.00408445829006577
mpayroll_lag1	0.004810298510127	0.0082405008338719	0.00879196953963309
mrentabilidad	0.00458631944982326	0.00158969122280211	0.00346140533056421
ctrx_quarter_delta1	0.00430226399194661	0.00845241284785337	0.00519210799584631
Master_fechaalta	0.00429379989834918	0.00961529269329164	0.0078920041536864
mrentabilidad_lag1	0.00427297766015021	0.0040409822203649	0.00491519556940118
cliente_edad	0.00426030281186311	0.00624941917263574	0.00671512634129457
canarito3	0.00407514741676825	0.00615971328354234	0.00664589823468328
mcuenta_debitos_automaticos	0.0039868961856392	0.0112433525663405	0.00443059882312219
ccomisiones_mantenimiento	0.00394546660401345	0.00756012726298241	0.00283835237106265
canarito81	0.00390992059705792	0.00636056223547949	0.00685358255451713
canarito39	0.00383339865103329	0.00440462463323715	0.00595361716857044
canarito84	0.00377529513578487	0.0035004674660901	0.00595361716857044
canarito78	0.00377207456453877	0.00573410329891723	0.0052613361024576
Master_fechaalta_lag1	0.00369556878418109	0.00425495159568727	0.00629975770162686
mcomisiones_mantenimiento	0.00364835576866896	0.00762048918188068	0.0039460020768432
Visa_Fvencimiento_lag1	0.00362701382692015	0.00197181003111123	0.00359986154378678
