Feature	Gain	Cover	Frequency
ctrx_quarter_lag1	0.104226221213067	0.0126820368211238	0.00842956120092379
ctrx_quarter	0.0815676220918747	0.0162009890681202	0.00889145496535797
mcaja_ahorro	0.0598990412529761	0.0112417174769975	0.00958429561200924
cpayroll_trx	0.0414383925455842	0.0175594499246244	0.00427251732101617
mcuentas_saldo	0.0279563096365177	0.0168336846934107	0.0128175519630485
ctarjeta_visa_transacciones	0.0247986634418404	0.00905575977142386	0.00866050808314088
mpayroll	0.0243539745974229	0.0196065531040604	0.00808314087759815
mprestamos_personales	0.024219480455351	0.0201339978597901	0.00715935334872979
mpayroll_lag1	0.0196069513363108	0.00824027589547446	0.00473441108545035
mpasivos_margen_lag1	0.0191446120054157	0.00326618483936559	0.00577367205542725
mtarjeta_visa_consumo	0.0175515513415186	0.00896067315415063	0.00785219399538106
mactivos_margen	0.017456124274954	0.0147656516182853	0.0138568129330254
mcaja_ahorro_lag1	0.015622844545111	0.00379269657266709	0.00438799076212471
Visa_mconsumototal	0.0133530075555922	0.00481581382435821	0.00519630484988453
Visa_mpagominimo_lag1	0.0121701439565264	0.00500789270152981	0.00519630484988453
cpayroll_trx_lag1	0.0118907281976381	0.00619968407415108	0.00219399538106236
Visa_msaldototal	0.0102507917050769	0.00776128643449488	0.00842956120092379
Visa_mpagominimo	0.00966057682524136	0.00826263873542347	0.00877598152424942
mactivos_margen_delta1	0.00894008849435415	0.00411896981355663	0.00531177829099307
Visa_msaldopesos	0.00865588784978474	0.00625363850904798	0.00727482678983834
mcomisiones_lag1	0.00790888670438184	0.00500655875169222	0.00623556581986143
Visa_msaldopesos_lag1	0.00770243664841002	0.00287269191101975	0.00381062355658199
mrentabilidad_annual_lag1	0.00731021104114821	0.00804479903476479	0.00808314087759815
ccomisiones_mantenimiento_delta1	0.00725429354465914	0.0104630916992509	0.00334872979214781
mpasivos_margen	0.00702720059194369	0.00454515317493549	0.00496535796766744
Visa_mpagospesos_lag1	0.00687060876914512	0.00313125544206368	0.00531177829099307
Visa_fechaalta	0.00596498162795414	0.00622757822743409	0.00889145496535797
thomebanking	0.00590001738680022	0.00491571404540533	0.00346420323325635
mpasivos_margen_delta1	0.0058812598538375	0.00499087308551284	0.00600461893764434
mcuenta_debitos_automaticos	0.00557699979158736	0.0148198213660503	0.00762124711316397
ctrx_quarter_delta1	0.00545386834747979	0.0111792693206857	0.0069284064665127
mactivos_margen_lag1	0.00535364016669254	0.0119994603814052	0.00727482678983834
mprestamos_personales_lag1	0.00517961111364216	0.00582701214763028	0.00323325635103926
mcomisiones_otras_lag1	0.00479146670573312	0.00521738964726728	0.00577367205542725
cproductos	0.00445511508334065	0.00481493277400165	0.00369515011547344
chomebanking_transacciones	0.0041910111239951	0.00690150255466243	0.00669745958429561
mprestamos_personales_delta1	0.00418469190291815	0.0125874550754032	0.00473441108545035
Master_status	0.00414959218824345	0.00918915475518345	0.00254041570438799
Master_fechaalta	0.00412625857998848	0.0097752636054407	0.0105080831408776
mrentabilidad_lag1	0.00396342079019059	0.00508934778688194	0.00508083140877598
cproductos_delta1	0.0039280630382676	0.00314765634294262	0.001270207852194
mcuentas_saldo_delta1	0.00372916062314614	0.0101682541370945	0.00635103926096998
chomebanking_transacciones_lag1	0.00357228412110799	0.00488350621017996	0.00542725173210162
mcomisiones_mantenimiento	0.00351504537262567	0.00383738265479628	0.00277136258660508
mcomisiones_mantenimiento_delta1	0.00335057727381602	0.00318707344695633	0.001270207852194
mpayroll_delta1	0.00307855849510169	0.00709914739321577	0.00369515011547344
mrentabilidad_annual	0.00304471092540093	0.00380869159641548	0.00438799076212471
mrentabilidad	0.00298297792472715	0.00137430491375891	0.00254041570438799
canarito6	0.00290644063463222	0.00419455947940021	0.00554272517321016
mtransferencias_recibidas_lag1	0.00287210934686314	0.00479104541995253	0.00554272517321016
canarito85	0.0028662978926816	0.00856190629796821	0.00635103926096998
mrentabilidad_annual_delta1	0.00285040187306321	0.00565472473029403	0.00623556581986143
mrentabilidad_delta1	0.00283646941047645	0.00209641477593714	0.0035796766743649
canarito27	0.0027354555200956	0.00686517902633888	0.00658198614318707
cliente_edad	0.00273457337388266	0.00537646378411574	0.00542725173210162
canarito2	0.00262071869695772	0.00281273593928395	0.00565819861431871
mautoservicio	0.00255973815102054	0.00539997000963983	0.0069284064665127
Visa_status	0.00255844531194104	0.00489444509382036	0.001270207852194
cliente_edad_lag1	0.00252975829425395	0.00506377752765737	0.00496535796766744
mpagomiscuentas	0.0024682616049169	0.00471917546951879	0.00334872979214781
ccallcenter_transacciones_delta1	0.00241810252168944	0.0050750975398228	0.00207852193995381
canarito57	0.00240251679583235	0.00262189201752785	0.00612009237875289
tcallcenter	0.00238346167299911	0.0031093974736673	0.00161662817551963
canarito50	0.00236804153666969	0.00265154084694232	0.00508083140877598
ccallcenter_transacciones	0.00229688797165462	0.0040062597142917	0.00207852193995381
Master_fechaalta_lag1	0.00224408641880313	0.00396084849802074	0.00600461893764434
mcomisiones	0.00221390175168042	0.00189457504874795	0.00450346420323326
canarito42	0.00216391918683291	0.00245110189082564	0.00496535796766744
