fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	iteracion_bayesiana	ganancia
20210927 143426	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	90	TRUE	0.0505125663126819	0.312386000935221	7598	444	0.0454516121725901	1	13061250
20210927 143547	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	214	TRUE	0.0369445080365986	0.234914848399349	4554	566	0.0411597713741357	2	13785000
20210927 143647	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	197	TRUE	0.0227392318188213	0.204622920894763	2905	363	0.0541866237700451	3	13346250
20210927 143729	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	123	TRUE	0.0432426721430384	0.240930905662244	3658	328	0.052918808668328	4	12751250
20210927 143819	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	148	TRUE	0.0550276711764745	0.353114505277481	6041	521	0.05070364952198	5	13095000
20210927 154537	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	186	TRUE	0.047784215088468	0.283404993932927	6210	640	0.0479071724429959	5	13548750
20210927 154648	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	227	TRUE	0.033046575688757	0.249119330288377	1845	468	0.043246465953649	6	13862500
20210927 154738	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	133	TRUE	0.0381702470616438	0.303954488299787	2980	966	0.0495173571927589	7	13165000
20210927 154834	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	261	TRUE	0.0503245490281843	0.166977600741666	5266	844	0.0530643947065691	8	13197500
20210927 154911	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	123	TRUE	0.0454640667061321	0.187486452164594	3820	265	0.0458112031519413	9	13215000
20210927 155008	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	192	TRUE	0.0345791132692248	0.254568105530925	3532	605	0.0469333973133471	10	13593750
20210927 155104	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	220	TRUE	0.0414979457617737	0.224966820874251	5873	378	0.0522681534703006	11	13432500
20210927 155151	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	131	TRUE	0.0437749912575819	0.341455047592754	4289	324	0.0425813740566955	12	13640000
20210927 155301	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	407	TRUE	0.0306397167588584	0.121285076551139	7616	524	0.0438559240534087	13	13168750
20210927 155440	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	388	TRUE	0.0219479628428817	0.278484746227041	4954	839	0.0513721785672824	14	13237500
20210927 155513	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	72	TRUE	0.0556672978703864	0.21888534217258	1659	514	0.0501397603495279	15	13220000
